Team,Won,Tie,Lost,Scored,Conceded
Juventus,9,1,1,25,4
Roma,8,1,2,19,6
Napoli,6,3,2,20,12
Sampdoria,5,5,1,14,8
Lazio,6,1,4,21,13
Genoa,5,4,2,15,11
Milan,4,5,2,20,16
Udinese,5,2,4,14,14
Inter,4,4,3,17,14
Verona,3,5,3,13,18
Fiorentina,3,4,4,10,10
Palermo,3,4,4,12,18
Sassuolo,2,6,3,10,15
Torino,3,3,5,7,12
Cagliari,2,4,5,17,17
Empoli,2,0,9,14,28
Atalanta,2,4,5,4,11
Chievo,2,2,7,8,16
Cesena,1,4,6,8,18
Parma,2,0,9,14,28
